UlasanNormal,UlasanStop,UlasanStem
"['-', 'oke', 'bernilai', 'membeli', 'kembali', 'ponselnya', 'efisien', 'baterai', 'dan', 'bertahan', 'kecepatan', 'muatan', 'cepat', 'harganya', 'moderat', 'efek', 'foto', 'besar', 'ponsel', 'ringan', 'dan', 'nyaman', 'dan', 'nyaman']","['-', 'oke', 'bernilai', 'membeli', 'ponselnya', 'efisien', 'baterai', 'bertahan', 'kecepatan', 'muatan', 'cepat', 'harganya', 'moderat', 'efek', 'foto', 'ponsel', 'ringan', 'nyaman', 'nyaman']",- oke nila beli kembali ponselnya efisien baterai dan tahan cepat muat cepat harga moderat efek foto besar ponsel ringan dan nyaman dan nyaman
"['saya', 'sangat', 'puas', 'saya', 'telah', 'menggunakannya', 'untuk', 'sementara', 'waktu', 'dan', 'memiliki', 'kapasitas', 'penyimpanan', 'baterai', 'yang', 'kuat', 'jika', 'hanya', 'digunakan', 'untuk', 'menjawab', 'dan', 'membuat', 'apa ']","['puas', 'menggunakannya', 'memiliki', 'kapasitas', 'penyimpanan', 'baterai', 'kuat', 'apa ']",saya sangat puas saya telah guna untuk sementara waktu dan milik kapasitas simpan baterai yang kuat jika hanya guna untuk jawab dan buat apa
"['pengiriman', 'cepat', 'tubuhnya', 'cerah', 'dan', 'tipis', 'dengan', 'warna', 'yang', 'indah', 'sangat', 'indah', 'cukup', 'ingatan', 'prosesor', 'licin', 'hidup', 'baterai', 'panjang', 'disediakan', 'dengan', 'pencari', 'mudah']","['pengiriman', 'cepat', 'tubuhnya', 'cerah', 'tipis', 'warna', 'indah', 'indah', 'ingatan', 'prosesor', 'licin', 'hidup', 'baterai', 'disediakan', 'pencari', 'mudah']",kirim cepat tubuh cerah dan tipis dengan warna yang indah sangat indah cukup ingat prosesor licin hidup baterai panjang sedia dengan cari mudah
"['teleponnya', 'dibeli', 'untuk', 'ibuku', 'dengan', 'warna', 'yang', 'sangat', 'indah', 'kecepatan', 'berjalan', 'yang', 'baik', 'foto-foto', 'yang', 'jelas', 'dan', 'yang', 'paling', 'penting', 'itu', 'memiliki', 'biaya-efektivitas']","['teleponnya', 'dibeli', 'ibuku', 'warna', 'indah', 'kecepatan', 'berjalan', 'foto-foto', 'memiliki', 'biaya-efektivitas']",telepon beli untuk ibu dengan warna yang sangat indah cepat jalan yang baik foto yang jelas dan yang paling penting itu milik biaya-efektivitas
"['alhamdulillah', 'barang', 'pesanan', 'saya', 'sudah', 'sampai', 'dengan', 'sangat', 'cepat', 'ekspedisinya', 'terima', 'kasih', 'banyak', 'semoga', 'barangnya', 'dalam', 'kondisi', 'baik', 'tidak', 'ada', 'kendala']","['alhamdulillah', 'barang', 'pesanan', 'cepat', 'ekspedisinya', 'terima', 'kasih', 'semoga', 'barangnya', 'kondisi', 'kendala']",alhamdulillah barang pesan saya sudah sampai dengan sangat cepat ekspedisi terima kasih banyak moga barang dalam kondisi baik tidak ada kendala
"['alhamdulillah', 'akhirnya', 'paket', 'saya', 'sampe', 'dengan', 'baik', 'seneng', 'bangetttt', 'sukaaa', 'semoga', 'awet']","['alhamdulillah', 'paket', 'sampe', 'seneng', 'bangetttt', 'sukaaa', 'semoga', 'awet']",alhamdulillah akhir paket saya sampe dengan baik neng bangetttt sukaaa moga awet
"['barang', 'sudah', 'mendarat', 'dengan', 'selamat', 'mantapp', 'berfungsi', 'dengan', 'baiksemuanya', 'juga', 'lengkap', 'dan', 'mulus', 'dari', 'segi', 'pekingnya', 'aman', 'dan', 'amanah', 'juga', 'barangnya', 'realpict', 'terima kasih']","['barang', 'mendarat', 'selamat', 'mantapp', 'berfungsi', 'baiksemuanya', 'lengkap', 'mulus', 'segi', 'pekingnya', 'aman', 'amanah', 'barangnya', 'realpict', 'terima kasih']",barang sudah darat dengan selamat mantapp fungsi dengan baiksemuanya juga lengkap dan mulus dari segi peking aman dan amanah juga barang realpict terima kasih
"['mantap', 'pas', 'banget', 'barangnya', 'tidak', 'ada', 'cacat', 'sedikit', 'pun', 'segel', 'masih', 'aman', 'tab', 'nya', 'bagus', 'banget', 'tidak', 'nyesel', 'pokok', 'nya']","['mantap', 'pas', 'banget', 'barangnya', 'cacat', 'segel', 'aman', 'tab', 'nya', 'bagus', 'banget', 'nyesel', 'pokok', 'nya']",mantap pas banget barang tidak ada cacat sedikit pun segel masih aman tab nya bagus banget tidak nyesel pokok nya
['bagus'],['bagus'],bagus
"['jauh', 'dari', 'ekspektasi', 'loading', 'susah', 'dan', 'koneksi', 'buruk', 'nge', 'hank', 'untuk', 'download', 'aplikasi', 'sangat', 'susah']","['ekspektasi', 'loading', 'susah', 'koneksi', 'buruk', 'nge', 'hank', 'download', 'aplikasi', 'susah']",jauh dari ekspektasi loading susah dan koneksi buruk nge hank untuk download aplikasi sangat susah
"['ok', 'good']","['ok', 'good']",ok good
"['barang', 'nya', 'sesuai', 'oke', 'punya', 'lah', 'cuma', 'signalnya', 'agak', 'lelet']","['barang', 'nya', 'sesuai', 'oke', 'signalnya', 'lelet']",barang nya sesuai oke punya lah cuma signalnya agak lelet
"['berfungsi', 'dengan', 'baik', 'sesuai', 'deskripsi', 'produk', 'cuma', 'jangan', 'berharap', 'pakai', 'kartu', 'sim', 'jaringannya', 'masih', 'edge', 'wkwkwk']","['berfungsi', 'sesuai', 'deskripsi', 'produk', 'berharap', 'pakai', 'kartu', 'sim', 'jaringannya', 'edge', 'wkwkwk']",fungsi dengan baik sesuai deskripsi produk cuma jangan harap pakai kartu sim jaring masih edge wkwkwk
"['barang', 'berfungsi', 'baiksemoga']","['barang', 'berfungsi', 'baiksemoga']",barang fungsi baiksemoga
"['barang', 'mantab']","['barang', 'mantab']",barang mantab
"['barang', 'sudah', 'sampai', 'terima kasih']","['barang', 'terima kasih']",barang sudah sampai terima kasih
"['mantap', 'lah', 'pokoknyalangsung', 'di', 'cek', 'sambil', 'dicoba', 'semuanya', 'berfungsi', 'dengan', 'baik', 'tabnyaseller', 'baik', 'dan', 'ramahthanks']","['mantap', 'pokoknyalangsung', 'cek', 'dicoba', 'berfungsi', 'tabnyaseller', 'ramahthanks']",mantap lah pokoknyalangsung di cek sambil coba semua fungsi dengan baik tabnyaseller baik dan ramahthanks
"['butuh', 'beberapa', 'hari', 'untuk', 'berkomentar', 'layarnya', 'jelas', 'dan', 'permainannya', 'lancar', 'dan', 'nuansa', 'itu', 'bagus', 'kinerja', 'biaya', 'sangat', 'tinggi', 'sangat', 'mudah', 'digunakan', 'ketika', 'saya', 'memb']","['butuh', 'berkomentar', 'layarnya', 'permainannya', 'lancar', 'nuansa', 'bagus', 'kinerja', 'biaya', 'mudah', 'memb']",butuh beberapa hari untuk komentar layar jelas dan main lancar dan nuansa itu bagus kerja biaya sangat tinggi sangat mudah guna ketika saya memb
"['pengiriman', 'lumayan', 'cepat', 'barang', 'bagus', 'packing', 'aman', 'banget', 'banget', 'bublewrapnya', 'tebel', 'bgtð\x9f\x98\x8dð\x9f\x92\x9e', 'tidak', 'nyesel', 'beli', 'disinibarang', 'bagus', 'sampai', 'dengan', 'aman', 'dan', 'tidak', 'ada', 'lecet', 'sama', 'sek']","['pengiriman', 'lumayan', 'cepat', 'barang', 'bagus', 'packing', 'aman', 'banget', 'banget', 'bublewrapnya', 'tebel', 'bgtð\x9f\x98\x8dð\x9f\x92\x9e', 'nyesel', 'beli', 'disinibarang', 'bagus', 'aman', 'lecet', 'sek']",kirim lumayan cepat barang bagus packing aman banget banget bublewrapnya tebel bgt tidak nyesel beli disinibarang bagus sampai dengan aman dan tidak ada lecet sama sek
"['terima kasih', 'tab', 'nya', 'ori', 'harganya', 'sangat', 'terjangkau', 'saya', 'sangat', 'menyukainya']","['terima kasih', 'tab', 'nya', 'ori', 'harganya', 'terjangkau', 'menyukainya']",terima kasih tab nya ori harga sangat jangkau saya sangat suka
"['pengiriman', 'sangat', 'cepat', 'dan', 'produk', 'tiba', 'dalam', 'kondisi', 'yang', 'sangat', 'baik']","['pengiriman', 'cepat', 'produk', 'kondisi']",kirim sangat cepat dan produk tiba dalam kondisi yang sangat baik
"['menerima', 'barang', 'dengan', 'aman', 'terima', 'kasih', 'atas', 'pengiriman', 'yang', 'cepat']","['menerima', 'barang', 'aman', 'terima', 'kasih', 'pengiriman', 'cepat']",terima barang dengan aman terima kasih atas kirim yang cepat
"['barang', 'sudah', 'diterima', 'dengan', 'baik']","['barang', 'diterima']",barang sudah terima dengan baik
"['barang', 'okey', 'bagus', 'mulus', 'dan', 'nyala', 'pengiriman', 'aman', 'tetapi', 'saya', 'pesen', 'xiomi', 'dikirim', 'merk', 'lain', 'saya', 'pesan', 'gold', 'yang', 'dikirim', 'nya', 'biru']","['barang', 'okey', 'bagus', 'mulus', 'nyala', 'pengiriman', 'aman', 'pesen', 'xiomi', 'dikirim', 'merk', 'pesan', 'gold', 'dikirim', 'nya', 'biru']",barang okey bagus mulus dan nyala kirim aman tetapi saya sen xiomi kirim merk lain saya pesan gold yang kirim nya biru
"['barang', 'sangat', 'bagus', 'dan', 'rapi', 'alhamdllah', 'dtrima', 'tanpa', 'cacat']","['barang', 'bagus', 'rapi', 'alhamdllah', 'dtrima', 'cacat']",barang sangat bagus dan rapi alhamdllah dtrima tanpa cacat
"['masa', 'belum', 'ada', 'sebulan', 'sudah', 'bermasalahsdh', 'penuhmaksudnya', 'apa', 'ya', 'hp', 'nya', 'ini', 'palsu', 'ya']","['sebulan', 'bermasalahsdh', 'penuhmaksudnya', 'ya', 'hp', 'nya', 'palsu', 'ya']",masa belum ada bulan sudah bermasalahsdh penuhmaksudnya apa ya hp nya ini palsu ya
"['sempat', 'ada', 'masalah', 'tetapi', 'seller', 'bertanggung', 'jwb', 'dikrm', 'ulang', 'terima kasih']","['seller', 'bertanggung', 'jwb', 'dikrm', 'ulang', 'terima kasih']",sempat ada masalah tetapi seller tanggung jwb dikrm ulang terima kasih
"['barang', 'dikirim', 'tanpa', 'box', 'dan', 'charger', 'penjual', 'tidak', 'respon', 'ketika', 'ditanya']","['barang', 'dikirim', 'box', 'charger', 'penjual', 'respon']",barang kirim tanpa box dan charger jual tidak respon ketika tanya
"['mudahan', 'awet', 'barang', 'oke']","['mudahan', 'awet', 'barang', 'oke']",mudah awet barang oke
['amanah'],['amanah'],amanah
"['masyaallah', 'tabletnya', 'berfungsi', 'dgn', 'baik']","['masyaallah', 'tabletnya', 'berfungsi', 'dgn']",masyaallah tablet fungsi dgn baik
"['barang', 'sudah', 'di', 'terima', 'minta', 'warna', 'biru', 'di', 'kasih', 'gold', 'tetapi', 'tidak', 'papa', 'komplit']","['barang', 'terima', 'warna', 'biru', 'kasih', 'gold', 'papa', 'komplit']",barang sudah di terima minta warna biru di kasih gold tetapi tidak papa komplit
"['good', 'job', 'barang', 'yang', 'di', 'kirimkan', 'bagus', 'sesuai', 'dengan', 'gambar', 'nya', 'ð\x9f\x91\x8dð\x9f\x98\x8e']","['good', 'job', 'barang', 'kirimkan', 'bagus', 'sesuai', 'gambar', 'nya', 'ð\x9f\x91\x8dð\x9f\x98\x8e']",good job barang yang di kirim bagus sesuai dengan gambar nya 
"['okee', 'ð\x9f\x91\x8d']","['okee', 'ð\x9f\x91\x8d']",okee 
"['yatidak', 'sesuai', 'harapankameranya', 'buruk']","['yatidak', 'sesuai', 'harapankameranya', 'buruk']",yatidak sesuai harapankameranya buruk
"['harga', 'murah', 'baterai', 'kecil', 'ma', 'jadi', 'cepat', 'habis', 'jaringan', 'yang', 'tersedia', '&', 'jadi', 'sulit', 'kalau', 'mau', 'internetan', 'ngebut', 'bukan', 'android', 'tetapi', 'android', 'lolipop']","['harga', 'murah', 'baterai', 'ma', 'cepat', 'habis', 'jaringan', 'tersedia', '&', 'sulit', 'internetan', 'ngebut', 'android', 'android', 'lolipop']",harga murah baterai kecil ma jadi cepat habis jaring yang sedia  jadi sulit kalau mau internetan ngebut bukan android tetapi android lolipop
"['packing', 'aman']","['packing', 'aman']",packing aman
"['barang', 'bagus', 'cepat', 'sampai']","['barang', 'bagus', 'cepat']",barang bagus cepat sampai
"['alhamdulillah', 'barang', 'sudah', 'sampai', 'barang', 'sesuai', 'deskripsi']","['alhamdulillah', 'barang', 'barang', 'sesuai', 'deskripsi']",alhamdulillah barang sudah sampai barang sesuai deskripsi
"['produk', 'bagus']","['produk', 'bagus']",produk bagus
"['barangnya', 'top', 'penjualnya', 'sabar', 'sihgara', 'jasa', 'kurirnya', 'yang', 'reguler', 'saja', 'jadi', 'agak', 'lamanext', 'bisa', 'dintambah', 'yang', 'same', 'day', 'ya', 'ganterimakasih']","['barangnya', 'top', 'penjualnya', 'sabar', 'sihgara', 'jasa', 'kurirnya', 'reguler', 'lamanext', 'dintambah', 'same', 'day', 'ya', 'ganterimakasih']",barang top jual sabar sihgara jasa kurir yang reguler saja jadi agak lamanext bisa dintambah yang same day ya ganterimakasih
"['kreeen', 'cepet']","['kreeen', 'cepet']",kreeen cepet
"['warna', 'tidak', 'sesuai', 'pengiriman', 'super', 'lambat']","['warna', 'sesuai', 'pengiriman', 'super', 'lambat']",warna tidak sesuai kirim super lambat
"['pengiriman', 'tepat', 'waktu', 'belum', 'dicoba', 'dan', 'layak', 'sih', 'buat', 'harga', 'semurah', 'itu']","['pengiriman', 'dicoba', 'layak', 'sih', 'harga', 'semurah']",kirim tepat waktu belum coba dan layak sih buat harga murah itu
"['wa', 'suaranya', 'kecil', 'kenapa', 'pengoperasian', 'membingungkan', 'lambat', 'merespond', 'perpindahan', 'icon', 'suara', 'wa', 'kecil', 'seperti', 'tidak', 'ke', 'speaker']","['wa', 'suaranya', 'pengoperasian', 'membingungkan', 'lambat', 'merespond', 'perpindahan', 'icon', 'suara', 'wa', 'speaker']",wa suara kecil kenapa operasi bingung lambat merespond pindah icon suara wa kecil seperti tidak ke speaker
"['handphone', 'panas', 'berlebihsinyal', 'ilang-ilang']","['handphone', 'panas', 'berlebihsinyal', 'ilang-ilang']",handphone panas berlebihsinyal ilang-ilang
"['processing', 'hp', 'terlalu', 'lambat', 'untuk', 'ram']","['processing', 'hp', 'lambat', 'ram']",processing hp terlalu lambat untuk ram
"['hp', 'ngecasnya', 'lama', 'agak', 'panas']","['hp', 'ngecasnya', 'panas']",hp ngecasnya lama agak panas
"['recomend', 'seller']","['recomend', 'seller']",recomend seller
"['hpnya', 'lemot', 'baterai', 'nya', 'cepat', 'panas', 'dan', 'habis']","['hpnya', 'lemot', 'baterai', 'nya', 'cepat', 'panas', 'habis']",hpnya lot baterai nya cepat panas dan habis
"['akhirnya', 'sampai', 'juga', 'sesuai', 'pesanan', 'ponsel', 'ini', 'hebat', 'berjalan', 'cepat', 'dan', 'memiliki', 'daya', 'tahan', 'baterai', 'yang', 'hebat', 'semoga', 'awet', 'terima', 'kasih', 'penjual', 'next', 'time', 'beli', 'hp', 'di']","['sesuai', 'pesanan', 'ponsel', 'hebat', 'berjalan', 'cepat', 'memiliki', 'daya', 'tahan', 'baterai', 'hebat', 'semoga', 'awet', 'terima', 'kasih', 'penjual', 'next', 'time', 'beli', 'hp']",akhir sampai juga sesuai pesan ponsel ini hebat jalan cepat dan milik daya tahan baterai yang hebat moga awet terima kasih jual next time beli hp di
"['baru', 'pertama', 'kali', 'order', 'hp', 'lewat', 'online', 'awalnya', 'sedikit', 'takut', 'ya', 'barang', 'kali', 'ada', 'kerusakan', 'atau', 'tidak', 'original', 'tetapi', 'ini', 'benar', 'original', 'packing', 'juga', 'aman', 'pengiriman']","['kali', 'order', 'hp', 'online', 'takut', 'ya', 'barang', 'kali', 'kerusakan', 'original', 'original', 'packing', 'aman', 'pengiriman']",baru pertama kali order hp lewat online awal sedikit takut ya barang kali ada rusa atau tidak original tetapi ini benar original packing juga aman kirim
"['ponsel', 'merespons', 'dengan', 'cepat', 'dan', 'pikselnya', 'jelas', 'dan', 'berkualitas', 'ponsel', 'ini', 'sangat', 'mudah', 'digunakan', 'harganya', 'lebih', 'murah', 'daripada', 'toko', 'fisik']","['ponsel', 'merespons', 'cepat', 'pikselnya', 'berkualitas', 'ponsel', 'mudah', 'harganya', 'murah', 'toko', 'fisik']",ponsel respons dengan cepat dan pikselnya jelas dan kualitas ponsel ini sangat mudah guna harga lebih murah daripada toko fisik
"['ok', 'sepadan', 'dengan', 'harganya']","['ok', 'sepadan', 'harganya']",ok padan dengan harga
"['terima', 'kasih', 'banyak', 'untuk', 'pengemasan', 'dan', 'pengiriman', 'yang', 'sangat', 'cepat', 'semoga', 'orang', 'menyukainya', 'tidak', 'ada', 'kerusakan', 'pada', 'unboxing', 'dan', 'tidak', 'ada', 'yang', 'hilang', 'ini', 'tahan', 'lama']","['terima', 'kasih', 'pengemasan', 'pengiriman', 'cepat', 'semoga', 'orang', 'menyukainya', 'kerusakan', 'unboxing', 'hilang', 'tahan']",terima kasih banyak untuk emas dan kirim yang sangat cepat moga orang suka tidak ada rusa pada unboxing dan tidak ada yang hilang ini tahan lama
"['barang', 'bagus', 'packing', 'aman', 'dan', 'rapih', 'pengiriman', 'cepat', 'sekali', 'terima kasih', 'gan', 'bakal', 'jadi', 'langganan', 'seller', 'nih']","['barang', 'bagus', 'packing', 'aman', 'rapih', 'pengiriman', 'cepat', 'terima kasih', 'gan', 'langganan', 'seller', 'nih']",barang bagus packing aman dan rapih kirim cepat sekali terima kasih gan bakal jadi langgan seller nih
"['terima kasih', 'seller', 'barang', 'sudah', 'sampai', 'dengan', 'baik', 'tanpa', 'ada', 'kendala', 'over', 'all', 'mantul', 'puas', 'deh', 'pokonya', 'mantull']","['terima kasih', 'seller', 'barang', 'kendala', 'over', 'all', 'mantul', 'puas', 'deh', 'pokonya', 'mantull']",terima kasih seller barang sudah sampai dengan baik tanpa ada kendala over all mantul puas deh poko mantull
"['barang', 'sudah', 'sampai', 'dengan', 'baik', 'sekali', 'berfungsi', 'semuanya', 'dengan', 'baik', 'bagusss']","['barang', 'berfungsi', 'bagusss']",barang sudah sampai dengan baik sekali fungsi semua dengan baik bagusss
"['barang', 'sudah', 'sampai', 'dengan', 'baik', 'sekali', 'berfungsi', 'semuanya', 'dengan', 'baik', 'bagusss']","['barang', 'berfungsi', 'bagusss']",barang sudah sampai dengan baik sekali fungsi semua dengan baik bagusss
"['kualitas', 'produk', 'sangat', 'baik', 'sekali', 'top', 'banget', 'pokoknya', 'mantul', 'banget', 'pokoknya']","['kualitas', 'produk', 'top', 'banget', 'pokoknya', 'mantul', 'banget', 'pokoknya']",kualitas produk sangat baik sekali top banget pokok mantul banget pokok
"['maaf', 'ternyata', 'barangnya', 'bukan', 'galaxy', 'tetapi', 'hp', 'tak', 'bermerek', 'kayaknya', 'hp', 'rakitan', 'akibatnya', 'beberap', 'aplikasi', 'penting', 'dari', 'google', 'play', 'store', 'tidak', 'dapat', 'diinstal']","['maaf', 'barangnya', 'galaxy', 'hp', 'bermerek', 'kayaknya', 'hp', 'rakitan', 'akibatnya', 'beberap', 'aplikasi', 'google', 'play', 'store', 'diinstal']",maaf nyata barang bukan galaxy tetapi hp tak merek kayak hp rakit akibat beberap aplikasi penting dari google play store tidak dapat diinstal
